iter	Passed	Remaining
0	803	802567
1	1559	778182
2	2367	786930
3	3076	766032
4	3874	771073
5	4615	764641
6	5419	768749
7	6281	778961
8	7244	797744
9	8053	797258
10	8898	800056
11	9607	791014
12	10439	792589
13	11256	792795
14	12061	792009
15	12832	789193
16	13541	782988
17	14294	779863
18	14922	770464
19	15675	768097
20	16462	767482
21	17367	772055
22	18148	770901
23	19078	775840
24	20093	783638
25	21026	787690
26	22092	796152
27	23130	802971
28	24353	815428
29	25477	823770
30	26608	831730
31	27697	837862
32	28715	841452
33	29724	844533
34	30787	848850
35	31757	850386
36	32808	853906
37	33753	854499
38	34721	855579
39	35752	858053
40	36717	858822
41	37601	857677
42	38563	858251
43	39487	857956
44	40450	858455
45	41338	857321
46	42313	857980
47	43413	861038
48	44425	862211
49	45581	866053
50	46608	867274
51	47715	869894
52	48974	875065
53	49903	874237
54	51000	876277
55	52119	878586
56	53037	877442
57	54047	877806
58	55240	881034
59	56460	884548
60	57505	885201
61	58499	885046
62	59574	886050
63	60557	885658
64	61671	887121
65	62769	888278
66	63816	888672
67	64855	888906
68	65849	888484
69	66970	889746
70	68021	890030
71	69040	889860
72	70186	891274
73	71173	890630
74	72115	889428
75	73154	889400
76	74124	888530
77	75260	889612
78	76288	889392
79	77220	888030
80	78258	887894
81	79236	887062
82	80325	887455
83	81364	887259
84	82496	888047
85	83427	886662
86	84350	885192
87	85281	883826
88	86293	883301
89	87292	882623
90	88414	883173
91	89312	881474
92	90307	880741
93	91299	879971
94	92227	878585
95	93210	877731
96	94210	877027
97	95261	876797
98	96247	875948
99	97332	875990
100	98856	879923
101	100080	881100
102	100891	878633
103	101902	877926
104	102960	877618
105	104485	881225
106	105945	884198
107	107776	890154
108	109118	891965
109	110306	892475
110	111390	892124
111	112712	893648
112	113967	894591
113	114993	893721
114	116101	893473
115	117452	895070
116	118568	894839
117	119624	894141
118	120726	893782
119	121766	892952
120	122943	893121
121	124200	893838
122	125381	893980
123	126434	893198
124	127515	892608
125	128618	892165
126	129762	891991
127	131660	896934
128	133230	899562
129	134612	900871
130	136361	904566
131	138143	908396
132	139726	910847
133	141301	913185
134	142882	915506
135	144352	917064
136	146396	922191
137	149488	933764
138	152650	945554
139	155446	954886
140	158130	963359
141	160865	971988
142	164975	988700
143	166865	991920
144	168344	992651
145	169900	993804
146	171565	995544
147	173263	997437
148	174980	999384
149	177754	1007273
150	179221	1007678
151	180978	1009667
152	182467	1010129
153	183835	1009898
154	185588	1011758
155	187390	1013832
156	188832	1013919
157	190537	1015395
158	192857	1020085
159	194552	1021402
160	196016	1021478
161	197462	1021441
162	199206	1022918
163	200747	1023324
164	202511	1024829
165	203969	1024763
166	205429	1024689
167	208288	1031521
168	209654	1030904
169	211324	1031763
170	213011	1032669
171	214570	1032933
172	216576	1035309
173	218006	1034903
174	219569	1035113
175	221090	1035103
176	223444	1038955
177	224884	1038510
178	226271	1037814
179	227848	1037974
180	229399	1038002
181	231174	1039015
182	232689	1038839
183	234344	1039267
184	235883	1039163
185	238735	1044789
186	240498	1045587
187	242090	1045626
188	243853	1046376
189	245282	1045676
190	246645	1044691
191	248431	1045483
192	249753	1044306
193	251406	1044503
194	253414	1046147
195	254982	1045949
196	256700	1046346
197	258174	1045738
198	260067	1046806
199	261822	1047290
200	263178	1046169
201	264518	1044980
202	265913	1044006
203	268550	1047872
204	270311	1048280
205	271864	1047866
206	273735	1048659
207	275276	1048166
208	277001	1048365
209	278405	1047334
210	279875	1046549
211	281330	1045700
212	283463	1047349
213	285111	1047185
214	286521	1046136
215	288059	1045549
216	289729	1045430
217	291341	1045087
218	292851	1044369
219	294581	1044426
220	296064	1043593
221	298699	1046794
222	300291	1046307
223	302005	1046232
224	303528	1045485
225	305149	1045069
226	306904	1045097
227	308593	1044885
228	310158	1044246
229	312336	1045647
230	314268	1046201
231	315894	1045719
232	317482	1045104
233	318931	1044022
234	320298	1042672
235	321805	1041776
236	323524	1041557
237	324980	1040484
238	327177	1041765
239	329610	1043765
240	331224	1043150
241	333085	1043299
242	334613	1042397
243	336533	1042703
244	338016	1041642
245	339348	1040115
246	340966	1039465
247	343112	1040405
248	344513	1039073
249	346270	1038811
250	347871	1038071
251	349700	1037999
252	351253	1037101
253	352855	1036338
254	354431	1035497
255	355921	1034397
256	358433	1036248
257	360159	1035806
258	361909	1035424
259	363789	1035400
260	365198	1034030
261	366953	1033632
262	368722	1033263
263	370169	1031986
264	372659	1033603
265	374349	1032978
266	375925	1032034
267	377551	1031222
268	378941	1029763
269	380857	1029724
270	382334	1028494
